ID,Material,Spec,Form,Condition,Thickness,Basis,Ftu_L,Ftu_LT,Ftu_ST,Fty_L,Fty_LT,Fty_ST,Fcy_L,Fcy_LT,Fcy_ST,Fsu LS,Fsu TS,Fsu SL,Fbru(ed=1.5)_L,Fbru(ed=1.5)_LT,Fbru(ed=1.5)_ST,Fbru(ed=2.0)_L,Fbru(ed=2.0)_LT,Fbru(ed=2.0)_ST,Fbry(ed=1.5)_L,Fbry(ed=1.5)_LT,Fbry(ed=1.5)_ST,Fbry(ed=2.0)_L,Fbry(ed=2.0)_LT,Fbry(ed=2.0)_ST,e_L,e_LT,e_ST,E_L Pri,E_LT Pri,E_ST Pri,E_L Sec,E_LT Sec,E_ST Sec,Ec_L Pri,Ec_LT Pri,Ec_ST Pri,Ec_L,Ec_LT,Ec_ST,G,v,density,Ref,Table,Material Desc,Form Desc
192,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,.250-.499,B,65,66, ,60,59, ,58,61, ,39, , ,104, , ,132, , ,90, , ,106, , ,,,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 .250-.499
193,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,.500-1.000,A,63,64, ,57,56, ,55,58, ,38, , ,101, , ,128, , ,85, , ,100, , ,,6,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 .500-1.000
194,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,.500-1.000,B,64,65, ,58,57, ,56,59, ,38, , ,102, , ,130, , ,87, , ,102, , ,,,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 .500-1.000
195,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,1.001-2.000,A,63,64, ,57,56, ,55,58, ,38, , ,101, , ,128, , ,85, , ,100, , ,,4,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 1.001-2.000
196,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,1.001-2.000,B,64,65, ,59,58, ,57,60, ,38, , ,102, , ,130, , ,88, , ,104, , ,,,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 1.001-2.000
197,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,2.001-2.500,A,61,62,59,56,55,54,54,57,59,37, , ,97, , ,124, , ,84, , ,98, , ,,2,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 2.001-2.500
198,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,2.001-2.500,B,62,63,60,58,57,56,56,59,61,37, , ,99, , ,126, , ,87, , ,102, , ,,,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 2.001-2.500
199,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,2.501-3.000,A, ,60, , ,54, , , , , , , , , , , , , , , , , , , ,,2,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 2.501-3.000
200,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,2.501-3.000,B, ,61, , ,56, , , , , , , , , , , , , , , , , , , , ,,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 2.501-3.000
201,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,3.001-4.000,A, ,56, , ,52, , , , , , , , , , , , , , , , , , , ,,1,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 3.001-4.000
202,2014 Alum Alloy Sheet and Plate,QQ-A-250/3,Plate,T651,3.001-4.000,B, ,57, , ,54, , , , , , , , , , , , , , , , , , , , ,,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c1),2000 Series Wrought Aluminum Alloy,2014 Alum Alloy Sheet and Plate T651 3.001-4.000
203,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Sheet,T62,"0.020-.0.039""",A,62,61, ,54,53, ,54,55, ,37, , ,93, , ,117, , ,76, , ,86, , ,,7,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 0.020-.0.039"""
204,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Sheet,T62,"0.020-.0.039""",B,64,63, ,56,55, ,56,57, ,38, , ,96, , ,121, , ,78, , ,89, , ,,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 0.020-.0.039"""
205,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Sheet,T62,"0.040-0.249""",A,65,64, ,57,56, ,57,58, ,39, , ,97, , ,123, , ,80, , ,91, , ,,8,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 0.040-0.249"""
206,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Sheet,T62,"0.040-0.249""",B,67,66, ,59,58, ,59,60, ,40, , ,100, , ,127, , ,83, , ,94, , ,,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 0.040-0.249"""
207,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Plate,T62,"0.250-0.499""",S,62,64, ,55,57, ,57,58, ,36, , ,96, , ,121, , ,81, , ,96, , ,,8,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 0.250-0.499"""
208,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Plate,T62,"0.500-1.000""",S,62,64, ,54,56, ,56,57, ,36, , ,96, , ,121, , ,79, , ,94, , ,,6,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 0.500-1.000"""
209,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Plate,T62,"1.001-2.000""",S,62,64, ,54,56, ,56,56, ,36, , ,96, , ,121, , ,79, , ,94, , ,,4,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 1.001-2.000"""
210,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Plate,T62,"2.001-2.500""",S,60,62, ,53,55, ,55,55, ,35, , ,93, , ,118, , ,78, , ,92, , ,,2,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 2.001-2.500"""
211,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Plate,T62,"2.501-3.000""",S, ,60, , ,54, , , , , , , , , , , , , , , , , , , ,,2,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 2.501-3.000"""
212,2014 Clad Alum Alloy Sheet and Plate,QQ-A-250/3,Clad Plate,T62,"3.001-4.000""",S, ,56, , ,52, , , , , , , , , , , , , , , , , , , ,,1,,10.7, , , , , ,10.9, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 c2),2000 Series Wrought Aluminum Alloy,"2014 Clad Alum Alloy Sheet and Plate T62 3.001-4.000"""
213,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","Up to 1.000""",S,65,64, ,55,53, ,53, , ,38, , ,98, , ,124, , ,77, , ,88, , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 Up to 1.000"""
214,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","1.001-2.000""",S,65,63, ,55,52, ,53, , ,38, , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 1.001-2.000"""
215,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","2.001-3.000""",S,65,62, ,55,51, ,53, , ,38, , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 2.001-3.000"""
216,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","3.001-4.000""",S,65,61, ,55,50, ,53, , ,38, , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 3.001-4.000"""
217,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","4.001-5.000""",S,65,60, ,55,49, ,53, , ,38, , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 4.001-5.000"""
218,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","5.001-6.000""",S,65,59, ,55,48, ,53, , ,38, , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 5.001-6.000"""
219,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished","AMS4121, QQ-A-225/4","Bar, rod, and shapes, rolled, drawn, or cold-finished","T6, T651","6.001-8.000""",S,65, , ,55, , ,53, , ,38, , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T6, T651 6.001-8.000"""
220,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished",QQ-A-225/4,"Bar, rod, and shapes, rolled, drawn, or cold-finished",T62,"<=8.000""",S,65, , ,55, , , , , , , , , , , , , , , , , , , , ,8,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 d),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Bar, Rod, and Shapes; Rolled, Drawn, or Cold Finished T62 <=8.000"""
221,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"<=1.000""",A,65,64, ,56,55, ,59,56, ,40, , ,91, , ,123, , ,73, , ,90, , ,6,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 <=1.000"""
222,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"<=1.000""",B,67, , ,59, , ,62,59, ,41, , ,94, , ,127, , ,77, , ,94, , ,,,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 <=1.000"""
223,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"1.001-2.000""",A,65,64, ,56,55, ,59,56, ,40, , ,91, , ,123, , ,73, , ,90, , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 1.001-2.000"""
224,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"1.001-2.000""",B,67, , ,59, , ,62,59, ,41, , ,94, , ,127, , ,77, , ,94, , ,,,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 1.001-2.000"""
225,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"2.001-3.000""",A,65,63, ,55,54, ,58,55, ,39, , ,91, , ,123, , ,71, , ,88, , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 2.001-3.000"""
226,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"2.001-3.000""",B,67, , ,58, , ,61,58, ,40, , ,94, , ,127, , ,75, , ,93, , ,,,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 2.001-3.000"""
227,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T6,"3.001-4.000""",S,63,63, ,55,55, ,58,55, ,39, , ,88, , ,120, , ,71, , ,88, , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T6 3.001-4.000"""
228,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"<=1.000""",A,65,64, ,56,55, ,59,56, ,40, , ,91, , ,123, , ,73, , ,90, , ,6,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 <=1.000"""
229,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"<=1.000""",B,67, , ,59, , ,62,59, ,41, , ,94, , ,127, , ,77, , ,94, , ,,,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 <=1.000"""
230,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"1.001-2.000""",A,65,64, ,56,55, ,59,56, ,40, , ,91, , ,123, , ,73, , ,90, , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 1.001-2.000"""
231,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"1.001-2.000""",B,67, , ,59, , ,62,59, ,41, , ,94, , ,127, , ,77, , ,94, , ,,,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 1.001-2.000"""
232,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"2.001-3.000""",A,65,63, ,55,54, ,58,55, ,39, , ,91, , ,123, , ,71, , ,88, , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 2.001-3.000"""
233,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"2.001-3.000""",B,67, , ,58, , ,61,58, ,40, , ,94, , ,127, , ,75, , ,93, , ,,,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 2.001-3.000"""
234,2014 Aluminum Alloy Die Forging,"AMS4133, MIL-A-22771, QQ-A-367",Die Forging,T652,"3.001-4.000""",S,63,63, ,55,55, ,58,55, ,39, , ,88, , ,120, , ,71, , ,88, , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 e),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Die Forging T652 3.001-4.000"""
235,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"<=2.000""",S,65,65, ,56,56, ,56,56, ,40, , ,91, , ,117, , ,78, , ,90, , ,8,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 <=2.000"""
236,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"2.001-3.000""",S,64,64,65,56,55,55,56,55, ,39, , ,90, , ,115, , ,78, , ,90, , ,8,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 2.001-3.000"""
237,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"3.001-4.000""",S,63,63,61,55,55,54,55,55, ,39, , ,88, , ,113, , ,77, , ,88, , ,8,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 3.001-4.000"""
238,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"4.001-5.000""",S,62,62,60,54,54,53,54,54, ,38, , ,87, , ,112, , ,76, , ,87, , ,7,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 4.001-5.000"""
239,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"5.001-6.000""",S,61,61,59,53,53,53,53,53, ,38, , ,85, , ,110, , ,74, , ,85, , ,7,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 5.001-6.000"""
240,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"6.001-7.000""",S,60,60,58,52,52,52, , , , , , , , , , , , , , , , , , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 6.001-7.000"""
241,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T6,"7.001-8.000""",S,59,59,57,51,51,51, , , , , , , , , , , , , , , , , , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T6 7.001-8.000"""
242,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"<=2.000""",S,65,65, ,56,56, ,56,57, ,38, , ,88, , ,115, , ,77, , ,91, , ,8,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 <=2.000"""
243,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"2.001-3.000""",S,64,64,62,56,55,52,56,56,57,37, , ,87, , ,113, , ,76, , ,89, , ,8,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 2.001-3.000"""
244,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"3.001-4.000""",S,63,63,61,55,55,51,55,56,56,37, , ,85, , ,111, , ,76, , ,89, , ,8,3,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 3.001-4.000"""
245,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"4.001-5.000""",S,62,62,60,54,54,50,54,53,55,36, , ,84, , ,110, , ,74, , ,87, , ,7,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 4.001-5.000"""
246,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"5.001-6.000""",S,61,61,59,53,53,50,53,54,55,36, , ,83, , ,108, , ,73, , ,86, , ,7,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 5.001-6.000"""
247,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"6.001-7.000""",S,60,60,58,52,52,49, , , , , , , , , , , , , , , , , , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 6.001-7.000"""
248,2014 Aluminum Alloy Hand Forging,"AMS4133, MIL-A-22771, QQ-A-367",Hand Forging,T652,"7.001-8.000""",S,59,59,57,51,51,48, , , , , , , , , , , , , , , , , , ,6,2,,10.5, , , , , ,10.8, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 f),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Hand Forging T652 7.001-8.000"""
249,2014 Aluminum Alloy Extrusion,"AMS4153, QQ-A-200/2","Extruded bar, rod, and shapes","T6, T6510, T6511","0.125-0.499""",A,60,60, ,53,53, ,52, , ,35, , ,90, , ,116, , ,73, , ,85, , ,7,5,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,Mil Hdbk5-G,3.2.1.0 g),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Extrusion T6, T6510, T6511 0.125-0.499"""
250,2014 Aluminum Alloy Extrusion,"AMS4153, QQ-A-200/2","Extruded bar, rod, and shapes","T6, T6510, T6511","0.125-0.499""",B,62, , ,57, , ,56, , ,36, , ,93, , ,120, , ,78, , ,91, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,Mil Hdbk5-G,3.2.1.0 g),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Extrusion T6, T6510, T6511 0.125-0.499"""
251,2014 Aluminum Alloy Extrusion,"AMS4153, QQ-A-200/2","Extruded bar, rod, and shapes","T6, T6510, T6511","0.500-0.749""",A,64,64, ,58,55, ,57, , ,37, , ,96, , ,124, , ,80, , ,93, , ,7,5,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,Mil Hdbk5-G,3.2.1.0 g),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Extrusion T6, T6510, T6511 0.500-0.749"""
252,2014 Aluminum Alloy Extrusion,"AMS4153, QQ-A-200/2","Extruded bar, rod, and shapes","T6, T6510, T6511","0.500-0.749""",B,68, , ,62, , ,61, , ,39, , ,102, , ,132, , ,85, , ,99, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,Mil Hdbk5-G,3.2.1.0 g),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Extrusion T6, T6510, T6511 0.500-0.749"""
253,2014 Aluminum Alloy Extrusion,"AMS4153, QQ-A-200/2","Extruded bar, rod, and shapes","T6, T6510, T6511","0.750-1.499""",A,68,63, ,60,54, ,59, , ,39, , ,102, , ,132, , ,82, , ,96, , ,7,2,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,Mil Hdbk5-G,3.2.1.0 g),2000 Series Wrought Aluminum Alloy,"2014 Aluminum Alloy Extrusion T6, T6510, T6511 0.750-1.499"""
